iter	Passed	Remaining
0	1	130
1	2	117
2	4	150
3	5	136
4	6	127
5	7	119
6	8	115
7	9	110
8	10	107
9	11	104
10	12	101
11	13	99
12	14	96
13	15	95
14	16	93
15	17	91
16	18	90
17	19	90
18	20	88
19	21	86
20	22	84
21	23	82
22	23	79
23	24	78
24	25	75
25	26	74
26	26	72
27	27	70
28	28	69
29	29	68
30	29	66
31	30	65
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	40	49
45	41	48
46	42	47
47	43	46
48	44	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	49	40
55	50	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	57	30
65	58	30
66	58	29
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	65	21
75	66	20
76	67	20
77	68	19
78	68	18
79	69	17
80	70	16
81	71	15
82	71	14
83	72	13
84	73	12
85	74	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	83	2
97	84	1
98	85	0
99	86	0
