iter	Passed	Remaining
0	110	110213
1	111	55785
2	114	37935
3	116	28893
4	117	23346
5	122	20277
6	126	17967
7	129	16035
8	130	14404
9	133	13177
10	134	12122
11	139	11501
12	141	10756
13	143	10077
14	144	9476
15	145	8938
16	148	8584
17	151	8241
18	152	7877
19	153	7544
20	155	7240
21	156	6947
22	157	6688
23	158	6446
24	159	6220
25	160	6010
26	163	5880
27	164	5714
28	165	5542
29	166	5381
30	167	5239
31	168	5098
32	169	4963
33	170	4836
34	171	4716
35	172	4608
36	173	4503
37	173	4402
38	174	4303
39	177	4259
40	178	4183
41	180	4106
42	180	4027
43	181	3950
44	182	3876
45	183	3803
46	184	3736
47	185	3678
48	186	3616
49	187	3555
50	187	3497
51	188	3443
52	190	3412
53	193	3386
54	194	3344
55	195	3298
56	196	3258
57	198	3219
58	199	3177
59	200	3135
60	201	3096
61	202	3056
62	203	3020
63	204	2989
64	205	2960
65	206	2926
66	207	2891
67	208	2859
68	209	2827
69	210	2795
70	211	2764
71	212	2734
72	212	2703
73	213	2674
74	214	2646
75	215	2622
76	216	2594
77	217	2567
78	217	2541
79	218	2518
80	220	2501
81	221	2481
82	222	2453
83	222	2430
84	223	2408
85	224	2385
86	225	2363
87	226	2342
88	226	2320
89	227	2302
90	228	2282
91	229	2263
92	230	2244
93	230	2225
94	231	2207
95	232	2189
96	233	2171
97	234	2161
98	235	2145
99	236	2129
100	237	2113
101	238	2096
102	238	2080
103	239	2066
104	240	2053
105	241	2037
106	242	2023
107	243	2008
108	243	1994
109	244	1980
110	245	1967
111	246	1955
112	247	1942
113	248	1930
114	249	1923
115	250	1912
116	251	1899
117	252	1887
118	253	1876
119	254	1863
120	254	1852
121	255	1839
122	256	1828
123	257	1816
124	257	1805
125	258	1793
126	259	1781
127	259	1770
128	260	1760
129	261	1749
130	262	1740
131	263	1730
132	263	1720
133	265	1714
134	266	1708
135	267	1700
136	268	1692
137	269	1685
138	270	1676
139	271	1668
140	272	1660
141	273	1650
142	274	1643
143	275	1636
144	276	1628
145	277	1621
146	278	1614
147	279	1608
148	280	1603
149	281	1596
150	282	1589
151	283	1581
152	284	1574
153	285	1566
154	285	1558
155	286	1550
156	287	1543
157	288	1536
158	289	1529
159	289	1522
160	290	1513
161	291	1506
162	292	1499
163	292	1492
164	293	1485
165	294	1481
166	295	1475
167	296	1468
168	297	1462
169	298	1457
170	299	1451
171	300	1445
172	301	1439
173	301	1433
174	302	1427
175	303	1421
176	304	1414
177	305	1409
178	305	1402
179	306	1396
180	307	1390
181	308	1384
182	309	1380
183	310	1376
184	311	1371
185	312	1366
186	312	1360
187	313	1355
188	314	1349
189	315	1344
190	316	1338
191	316	1333
192	317	1328
193	318	1323
194	319	1317
195	319	1312
196	320	1307
197	321	1302
198	322	1297
199	323	1292
200	323	1287
201	325	1284
202	326	1280
203	327	1276
204	328	1272
205	329	1268
206	329	1263
207	330	1259
208	331	1254
209	332	1250
210	333	1246
211	334	1242
212	335	1238
213	336	1234
214	336	1230
215	337	1226
216	338	1222
217	339	1219
218	340	1215
219	341	1211
220	342	1207
221	343	1203
222	344	1199
223	345	1196
224	346	1192
225	347	1188
226	347	1184
227	348	1180
228	349	1176
229	350	1172
230	351	1168
231	352	1165
232	352	1161
233	353	1158
234	355	1156
235	356	1154
236	357	1151
237	358	1148
238	359	1146
239	360	1142
240	361	1139
241	362	1136
242	363	1133
243	364	1130
244	365	1127
245	366	1124
246	367	1120
247	368	1117
248	369	1114
249	370	1111
250	371	1108
251	372	1105
252	373	1102
253	374	1099
254	375	1095
255	375	1092
256	376	1088
